run, lumi, event 

1,276801,131526434
1,277519,131867724
1,281660,133835334
1,285463,135642287
1,288148,136918098
1,289906,137753751
1,292191,138839535
1,292191,138839541
1,296968,141109112
1,297560,141390167
1,297716,141464736
1,296753,141007204
1,304919,144887352
1,608349,289067167
1,611644,290632736
1,614554,292015735
1,125745,59749665
1,250321,118943867
1,253291,120355340
1,254121,120749532
1,254768,121056997
1,242685,115315640
1,248872,118255671
1,253670,120535207
1,253548,120477456
1,254467,120914220
1,254873,121107007
1,259845,123469407
1,262645,124800114
1,263396,125157042
1,265397,126107905
1,269636,128121802
1,268130,127406163
1,616472,292926710
1,271270,128898555
1,108410,51512452
1,253136,120281536
1,254209,120791412
1,273151,129791872
1,273151,129792271
1,263357,125138378
1,268743,127697496
1,271439,128978532
1,272599,129529850
1,273638,130023740
1,272790,129620508
1,276675,131466464
1,277235,131732905
1,277457,131838403
1,277729,131967244
1,279139,132637291
1,279671,132890117
1,279940,133018042
1,280081,133085200
1,292264,138874054
1,292526,138998661
1,292435,138955190
1,292762,139110479
1,300068,142582252
1,300282,142683965
1,300443,142760255
1,301358,143195066
1,302127,143560459
1,302463,143720013
1,102197,48560348
1,145495,69134356
1,280365,133219853
1,39184,18618878
1,259073,123102727
1,238451,113303736
1,260723,123886707
1,305514,145169885
1,130649,62079941
1,117381,55775265
1,130059,61799763
1,130267,61898456
1,239159,113640401
1,108798,51697019
1,125630,59695113
1,125633,59696525
1,125633,59696753
1,131961,62703090
1,664472,315734661
1,651010,309338324
1,663860,315444000
1,656353,311876658
1,628317,298554979
1,663864,315445875
1,639253,303751298
1,664147,315580049
1,661250,314203946
1,661594,314367281
1,648376,308086849
1,662282,314693992
1,661991,314555998
1,662548,314820398
1,36641,17410407
1,111775,53111626
1,111776,53112235
1,143396,68136826
1,143397,68137128
1,147586,70127917
1,295330,140330922
1,295475,140399607
1,115629,54943157
1,115827,55036754
1,289795,137700542
1,289796,137701322
1,133232,63307074
1,141958,67453869
1,237443,112825091
1,250225,118898591
1,250549,119052184
1,250551,119053510
1,257690,122445443
1,291232,138383795
1,249086,118357305
1,628124,298463174
1,628125,298463962
1,646241,307072208
1,646384,307140269
1,599520,284871693
1,607250,288545035
1,610991,290322463
1,611331,290483791
1,616066,292733985
1,652942,310256075
1,657339,312345717
1,659160,313210664
1,108502,51556455
1,40126,19066532
1,45989,21852442
1,111988,53212884
1,305835,145322329
1,238475,113315443
1,258128,122653758
1,258173,122674997
1,137810,65482342
1,137811,65483049
1,300242,142664830
1,663173,315117907
1,106204,50464336
1,289703,137657272
1,293752,139581073
1,293753,139581866
1,284438,135155221
1,153328,72856032
1,241975,114978166
1,609445,289587662
1,139745,66402109
1,263007,124972298
1,263010,124973383
1,237495,112849412
1,237497,112850441
1,251917,119702168
1,296126,140709089
1,296917,141084592
1,603758,286885430
1,630751,299711817
1,621964,295536372
1,632264,300430689
1,640154,304179651
1,649550,308644288
1,244193,116032309
1,244860,116349099
1,252859,120149773
1,613622,291572450
1,615056,292254168
1,242211,115090387
1,609818,289765223
1,641326,304736770
1,656032,311724582
1,656986,312177591
1,113990,54163831
1,247550,117627470
1,247550,117627554
1,608066,288932665
1,643223,305637848
1,250588,119070972
1,265424,126120375
1,267333,127027657
1,267322,127022587
1,297686,141450288
1,603910,286957927
1,629557,299144513
1,297579,141399449
1,630737,299704923
1,664053,315535647
1,639619,303925178
1,636834,302602060
1,50337,23918382
1,627363,298101887
1,662493,314794670
1,662494,314794755
1,662494,314795079
1,295585,140452124
1,653614,310575321
1,265985,126387070
1,627623,298225601
1,647210,307532223
1,600793,285476715
1,654296,310899569
1,46554,22120833
1,49717,23623567
1,41795,19859319
1,48917,23243705
1,48982,23274713
1,49696,23613932
1,38166,18135190
1,145081,68937431
1,53969,25644278
1,117898,56021235
1,278970,132557152
1,122022,57980590
1,152834,72621617
1,117519,55841185
1,144091,68467186
1,144819,68812909
1,148303,70468527
1,256158,121717592
1,256525,121891949
1,135775,64515434
1,142193,67565475
1,234268,111316355
1,250216,118894080
1,603778,286895072
1,656982,312175908
1,248096,117886737
1,248096,117886914
1,248098,117887593
1,257198,122211763
1,604768,287365507
1,624207,296602110
1,654814,311145570
1,657738,312535122
1,621563,295346140
1,647551,307694599
1,639143,303699653
1,639807,304014694
1,654052,310783735
1,665648,316293439
1,269299,127961529
1,269423,128020808
1,622118,295609593
1,647200,307527809
1,656862,312118838
1,633700,301112961
1,633034,300796480
1,633070,300813700
1,665379,316165758
1,631158,299905020
1,631552,300092601
1,653058,310311329
1,631400,300020105
1,633017,300788478
1,651228,309441626
1,652879,310225906
1,46825,22249347
1,36343,17268848
1,44642,21212047
1,42517,20202458
1,236180,112224554
1,109180,51878752
1,129400,61486488
1,154779,73545648
1,154779,73545931
1,154782,73547142
1,36697,17437034
1,253337,120377258
1,51610,24523034
1,143018,67956968
1,143018,67957068
1,153006,72703342
1,105082,49931421
1,41296,19622370
1,43755,20790821
1,45460,21600812
1,47169,22413168
1,117422,55795070
1,130188,61860982
1,124348,59085692
1,133063,63226748
1,142521,67720940
1,125782,59767550
1,133045,63218108
1,126672,60190299
1,142049,67496954
1,128076,60857438
1,128239,60934701
1,258151,122664728
1,153345,72864555
1,142196,67566749
1,237364,112787319
1,241713,114853735
1,149929,71241059
1,148183,70411182
1,292583,139025517
1,236227,112246842
1,236228,112247680
1,278289,132233557
1,279278,132703216
1,264918,125880141
1,601673,285895031
1,245155,116489231
1,596979,283664654
1,289296,137463694
1,289296,137463804
1,299629,142373711
1,631753,300187966
1,651384,309515923
1,299803,142456374
1,632210,300405166
1,664934,315954409
1,43693,20761345
1,46575,22130706
1,49040,23302025
1,49890,23705916
1,133416,63394793
1,137237,65210527
1,148084,70364664
1,245612,116706315
1,273855,130126833
1,149201,70895281
1,271747,129124766
1,277003,131622238
1,302406,143693194
1,303621,144270345
1,296684,140974132
1,611498,290563298
1,615498,292463911
1,624106,296554310
1,654001,310759090
1,616468,292925125
1,616729,293049104
1,660919,314046517
1,628293,298543780
1,654245,310875595
1,655574,311506937
1,628385,298587536
1,643206,305629860
1,654845,311160528
1,655137,311299034
1,643191,305622582
1,643464,305752553
1,643869,305944808
1,643870,305945468
1,645143,306550346
1,655389,311418656
1,657987,312653132
1,664401,315700988
1,648630,308207289
1,648877,308324482
1,651666,309649904
1,652840,310207477
1,608274,289031478
1,627793,298305850
1,627794,298306592
1,627651,298238599
1,643768,305897174
1,649085,308423446
1,633125,300839908
1,648645,308214262
1,664403,315702136
1,664562,315777428
1,664598,315794566
1,664579,315785610
1,120528,57270752
1,124793,59297349
1,124793,59297649
1,124898,59347236
1,38083,18095761
1,105598,50176824
1,38820,18445764
1,48426,23010236
1,106996,50840727
1,107400,51032886
1,39351,18698033
1,125048,59418568
1,125375,59574200
1,106178,50451977
1,616884,293122597
1,650255,308979518
1,299759,142435524
1,601571,285846514
1,635741,302082887
1,653932,310726562
1,665654,316296552
1,650571,309129580
1,621927,295518934
1,631013,299836473
1,640723,304450058
1,640979,304571708
1,650206,308956198
1,650592,309139513
1,257041,122137154
1,252579,120017183
1,253908,120648610
1,255199,121261908
1,255365,121340926
1,260065,123574020
1,261112,124071736
1,286213,135998653
1,287959,136828243
1,296462,140868650
1,298351,141766244
1,298525,141848942
1,301360,143196248
1,301719,143366894
1,303109,144026831
1,303214,144077034
1,298754,141957830
1,613820,291666758
1,608875,289317105
1,611590,290607265
1,627083,297968921
1,644324,306161358
1,644796,306385491
1,645780,306852915
1,113169,53774220
1,105901,50320309
1,119059,56572418
1,119059,56572743
1,117449,55807700
1,112384,53401062
1,273059,129748345
1,131553,62509547
1,138529,65824045
1,259571,123339278
1,290785,138170926
1,596947,283649050
1,655464,311454420
1,111229,52852309
1,138464,65793125
1,138633,65873906
1,142811,67859012
1,240100,114087426
1,250904,119221118
1,251309,119413560
1,251322,119419826
1,255004,121169321
1,262659,124806550
1,264184,125531516
1,264260,125567519
1,277444,131832264
1,277692,131949947
1,280817,133434746
1,288876,137264045
1,289118,137379256
1,294313,139847652
1,296406,140842175
1,297909,141556391
1,47130,22394461
1,41239,19595172
1,47127,22392988
1,47351,22499514
1,122683,58294722
1,53367,25357913
1,53920,25620660
1,146216,69477022
1,143223,68054753
1,235442,111873850
1,235693,111992997
1,277022,131631705
1,277024,131632533
1,278275,132226780
1,278278,132228570
1,278531,132348752
1,23107,10979228
1,82202,39059652
1,337278,160263137
1,448954,213328162
1,308713,146690049
1,68637,32613968
1,72147,34281678
1,98781,46937317
1,77997,37061626
1,92066,43746468
1,101656,48303295
1,306027,145413854
1,311632,148077120
1,336835,160052507
1,22410,10648433
1,24197,11497335
1,71351,33903824
1,76512,36355788
1,312838,148649876
1,19381,9209014
1,76507,36353609
1,339058,161109055
1,24752,11761116
1,70484,33491664
1,92407,43908525
1,92408,43909122
1,310549,147562468
1,18620,8847295
1,18622,8848624
1,310813,147687896
1,671182,318922988
1,340252,161676552
1,18531,8805302
1,18531,8805416
1,427651,203205056
1,340235,161668047
1,73569,34957339
1,25978,12343990
1,434993,206693950
1,435247,206814697
1,435825,207089561
1,435856,207104244
1,26243,12470000
1,96616,45908506
1,97254,46211836
1,70702,33595029
1,95551,45402409
1,76000,36112824
1,76475,36338555
1,82077,39000212
1,82546,39223021
1,91384,43422704
1,97432,46296296
1,97517,46336841
1,309056,146853018
1,428827,203764332
1,88253,41935049
1,98824,46957555
1,100722,47859694
1,433418,205945461
1,449419,213548756
1,309579,147101329
1,309580,147102215
1,448937,213319903
1,448938,213320299
1,670076,318397873
1,318406,151295621
1,20243,9618650
1,20849,9906588
1,22328,10609294
1,22891,10877086
1,78107,37113697
1,78440,37271767
1,89293,42428795
1,99193,47133124
1,101123,48050382
1,308487,146582771
1,313063,148756721
1,312979,148717105
1,316025,150164380
1,340690,161884283
1,29823,14170517
1,30196,14348131
1,70448,33474211
1,71233,33847380
1,29630,14078830
1,30752,14612026
1,31109,14782034
1,32083,15244302
1,32083,15244436
1,66190,31451444
1,309479,147054040
1,313201,148822595
1,320016,152060791
1,339403,161272526
1,339229,161189953
1,339230,161190866
1,339164,161159111
1,339474,161306643
1,670761,318722893
1,434308,206368714
1,443050,210522735
1,69674,33106632
1,73139,34753222
1,73402,34878042
1,310828,147694777
1,336193,159747751
1,436569,207442753
1,442548,210283996
1,72355,34380535
1,72357,34381527
1,72395,34399583
1,92348,43880633
1,84155,39987852
1,84156,39988011
1,63203,30031733
1,63235,30046915
1,69521,33034269
1,87459,41557325
1,93305,44335616
1,83648,39746780
1,83650,39747791
1,89430,42493929
1,94353,44833356
1,95128,45201549
1,308568,146621215
1,77192,36678714
1,433449,205960213
1,67927,32276391
1,87242,41454397
1,87243,41454923
1,435202,206793653
1,669275,318017385
1,101108,48042730
1,445687,211775312
1,438512,208366007
1,448807,213257744
1,666188,316550184
1,80701,38346358
1,90729,43111306
1,321176,152611894
1,438541,208379676
1,669903,318315229
1,72715,34551449
1,448438,213082542
1,448674,213194692
1,62937,29905321
1,64235,30522136
1,89590,42570125
1,100455,47732758
1,100686,47842502
1,429376,204025126
1,429700,204178956
1,433043,205767709
1,447606,212687391
1,442082,210062263
1,669312,318034590
1,60109,28561607
1,67934,32279932
1,91522,43488166
1,99785,47414404
1,426064,202451475
1,431383,204978824
1,445293,211588261
1,27901,13257441
1,75418,35836302
1,445733,211797569
1,668941,317858046
1,430237,204434170
1,340072,161590831
1,428912,203804527
1,445673,211768832
1,446329,212080589
1,447964,212857561
1,448021,212884628
1,669908,318317673
1,94116,44720638
1,100156,47590515
1,667706,317271276
1,449770,213715390
1,437962,208105090
1,318985,151570683
1,436718,207513855
1,439452,208812714
1,667247,317053312
1,432166,205350941
1,449857,213757013
1,27921,13267264
1,19562,9294949
1,23514,11173040
1,24496,11639589
1,24205,11501333
1,23578,11203175
1,25496,12114637
1,79107,37589102
1,322065,153034213
1,337619,160425036
1,443423,210699939
1,447136,212464022
1,443933,210942301
1,449255,213471181
1,667926,317375998
1,60147,28579932
1,89691,42618107
1,95776,45509746
1,71731,34083796
1,76993,36584435
1,313296,148867696
1,309119,146882772
1,77945,37037056
1,78913,37496668
1,91437,43447471
1,435891,207120702
1,438668,208440167
1,446853,212329306
1,336662,159970166
1,311063,147806714
1,312829,148645780
1,32921,15642821
1,34139,16221833
1,70125,33321009
1,91101,43287871
1,93999,44664863
1,96493,45850277
1,99858,47449044
1,101272,48120931
1,435858,207105032
1,436577,207446955
1,437611,207938044
1,436760,207533539
1,445396,211637454
1,448484,213104220
1,90619,43058794
1,95461,45359897
1,322742,153355848
1,336188,159745124
1,94714,45004784
1,306859,145808932
1,322746,153357989
1,427929,203337232
1,449484,213579699
1,20158,9578483
1,20459,9721627
1,20685,9828524
1,20941,9950382
1,26587,12632895
1,61073,29019629
1,79665,37853992
1,79951,37989951
1,82654,39274470
1,89227,42397240
1,92756,44074169
1,311054,147802551
1,95869,45553708
1,315069,149710338
1,316387,150336262
1,341005,162034009
1,436235,207284293
1,316030,150166643
1,319832,151973362
1,321225,152635414
1,322177,153087796
1,323065,153509477
1,323104,153528196
1,46539,22113629
1,132579,62996847
1,283881,134890559
1,599526,284874715
1,602173,286132205
1,603011,286530625
1,251935,119710844
1,631671,300149073
1,651425,309535643
1,245009,116420181
1,250402,118982448
1,654389,310943673
1,602800,286430300
1,602802,286431279
1,37720,17923023
1,114720,54511014
1,40681,19329932
1,105323,50046095
1,130458,61989254
1,117628,55892619
1,150848,71677621
1,129746,61650710
1,132959,63177711
1,102164,48544956
1,102201,48562391
1,104720,49759208
1,105436,50099631
1,117172,55676191
1,129713,61635524
1,40231,19116352
1,142443,67683915
1,103509,49183782
1,106961,50824323
1,118564,56337705
1,129706,61631926
1,130432,61976960
1,128297,60962322
1,234167,111268196
1,148498,70561326
1,237557,112879276
1,267542,127127029
1,626840,297853096
1,634247,301372997
1,274189,130285043
1,274189,130285216
1,274186,130284055
1,37349,17747138
1,37465,17801964
1,108628,51616227
1,37621,17876170
1,115023,54654730
1,115026,54656380
1,115786,55017747
1,128153,60894235
1,38559,18321703
1,43435,20638909
1,278758,132456179
1,130387,61955109
1,155203,73747170
1,122855,58376558
1,21538,10233984
1,65130,30947471
1,436022,207182792
1,34994,16627795
1,34994,16627937
1,62092,29503773
1,32661,15519146
1,100039,47535043
1,313160,148802845
1,340831,161951377
1,34016,16162966
1,319022,151588313
1,307810,146261034
1,426670,202739218
1,70805,33643973
1,95008,45144817
1,432950,205723233
1,94317,44816185
1,86486,41095110
1,95264,45265919
1,426058,202448740
1,69752,33143507
1,317674,150948075
1,433643,206052705
1,314107,149252733
1,442673,210343290
1,442179,210108563
1,25935,12323506
1,25936,12323831
1,28474,13529588
1,30871,14668831
1,32037,15223009
1,34605,16443081
1,74666,35478727
1,88449,42027880
1,92884,44135527
1,315825,150069239
1,316779,150522771
1,337491,160364586
1,336310,159803258
1,431948,205247138
1,431950,205248241
1,437459,207865703
1,440225,209180425
1,444098,211020458
1,441608,209837101
1,443377,210677572
1,445197,211542837
1,447907,212830520
1,23762,11290805
1,24289,11541258
1,24340,11565274
1,27208,12928118
1,27879,13247105
1,35414,16827550
1,62211,29560481
1,72995,34684703
1,79072,37572140
1,80172,38094857
1,80172,38095042
1,313076,148763144
1,314536,149457084
1,315887,150099019
1,337443,160341632
1,443643,210804487
1,444923,211412296
1,22257,10575751
1,22623,10749362
1,98608,46855265
1,99235,47153148
1,74120,35219338
1,76537,36367672
1,436799,207552507
1,442262,210147987
1,90054,42790654
1,90221,42869745
1,97250,46209652
1,97251,46210568
1,96270,45744208
1,97100,46138405
1,312154,148325331
1,322516,153248976
1,323300,153621428
1,98737,46916432
1,99001,47041676
1,99175,47124468
1,99971,47502708
1,395756,188049726
1,412202,195864632
