run, lumi, event 

1,616468,292925125
1,655574,311506937
1,655137,311299034
1,643191,305622582
1,643464,305752553
1,38820,18445764
1,106996,50840727
1,107400,51032886
1,125048,59418568
1,665654,316296552
1,650206,308956198
1,252579,120017183
1,255199,121261908
1,286213,135998653
1,303109,144026831
1,303214,144077034
1,298754,141957830
1,613820,291666758
1,627083,297968921
1,644324,306161358
1,105901,50320309
1,119059,56572418
1,119059,56572743
1,273059,129748345
1,131553,62509547
1,290785,138170926
1,596947,283649050
1,142811,67859012
1,251309,119413560
1,255004,121169321
1,262659,124806550
1,264260,125567519
1,277444,131832264
1,277692,131949947
1,280817,133434746
1,41239,19595172
1,47351,22499514
1,53367,25357913
1,235442,111873850
1,277022,131631705
1,150369,71449994
1,150393,71461708
1,263678,125290953
1,277913,132055062
1,274441,130404941
1,272545,129504207
1,139429,66251832
1,140322,66676242
1,151963,72207744
1,248811,118226592
1,242551,115252141
1,299756,142433987
1,299500,142312101
1,659175,313217823
1,273662,130034773
1,605084,287515597
1,604773,287367637
1,611865,290737577
1,622550,295815063
1,244860,116349099
1,252859,120149773
1,613622,291572450
1,656032,311724582
1,113990,54163831
1,247550,117627470
1,643223,305637848
1,267322,127022587
1,603910,286957927
1,297579,141399449
1,639619,303925178
1,662493,314794670
1,265985,126387070
1,600793,285476715
1,46554,22120833
1,41795,19859319
1,48917,23243705
1,48982,23274713
1,117519,55841185
1,135775,64515434
1,234268,111316355
1,604768,287365507
1,624207,296602110
1,654814,311145570
1,654052,310783735
1,295052,140198484
1,627827,298322321
1,246129,116952290
1,247036,117383197
1,247401,117556433
1,249264,118441788
1,258308,122739130
1,257860,122526299
1,244480,116168628
1,250956,119245797
1,600953,285552739
1,620218,294706802
1,624903,296932893
1,633060,300808890
1,141006,67001156
1,154311,73323228
1,618641,293957350
1,647661,307746702
1,269299,127961529
1,269423,128020808
1,633700,301112961
1,653058,310311329
1,631400,300020105
1,652879,310225906
1,236180,112224554
1,143018,67957068
1,43755,20790821
1,126672,60190299
1,149929,71241059
1,148183,70411182
1,292583,139025517
1,278289,132233557
1,264918,125880141
1,596979,283664654
1,631753,300187966
1,299803,142456374
1,632210,300405166
1,664934,315954409
1,43693,20761345
1,46575,22130706
1,149201,70895281
1,271747,129124766
1,645087,306523619
1,130715,62111428
1,607803,288807496
1,616001,292702911
1,651331,309490522
1,257570,122388591
1,598376,284327917
1,609470,289599520
1,599119,284681378
1,280139,133112827
1,285892,135846072
1,283337,134632338
1,288734,137196524
1,288847,137250234
1,288826,137240570
1,291357,138443052
1,289232,137433299
1,290051,137822499
1,657566,312453086
1,607723,288769359
1,43566,20701034
1,106606,50655383
1,107234,50953798
1,150765,71638638
1,241751,114872016
1,259925,123507593
1,293829,139617676
1,617192,293269069
1,595687,283050394
1,651732,309681316
1,609505,289616107
1,42277,20088482
1,48692,23136733
1,111007,52746614
1,112613,53509873
1,112980,53684217
1,149914,71233908
1,131016,62254319
1,242305,115134880
1,148960,70780804
1,602811,286435792
1,665720,316327554
1,140150,66594401
1,236474,112364154
1,304380,144631096
1,304380,144631098
1,275305,130815685
1,291921,138711161
1,300189,142639526
1,149471,71023500
1,126157,59945232
1,249749,118672557
1,251628,119565070
1,265978,126383695
1,261359,124189213
1,261133,124081324
1,287967,136831995
1,288309,136994466
1,289610,137612864
1,297857,141531870
1,36901,17534012
1,645050,306506042
1,620287,294739749
1,646199,307052080
1,662642,314865303
1,40793,19383375
1,152437,72432960
1,152901,72653587
1,294941,140146140
1,41899,19909026
1,128244,60937069
1,36349,17271848
1,148283,70459273
1,149135,70863986
1,140056,66549710
1,611690,290654627
1,612622,291097538
1,615085,292267819
1,639729,303977759
1,259158,123143060
1,625996,297452403
1,630045,299376217
1,268805,127727071
1,652988,310277860
1,620909,295035410
1,604559,287266197
1,633373,300957696
1,633376,300959068
1,627233,298040264
1,654248,310876832
1,645898,306909314
1,650741,309210598
1,302352,143667439
1,636435,302412693
1,641163,304659013
1,244161,116017087
1,244613,116232070
1,258325,122747055
1,267598,127153799
1,267625,127166405
1,599530,284876775
1,247163,117443346
1,293893,139647895
1,631034,299846105
1,612498,291038631
1,106865,50778600
1,147705,70184436
1,117732,55942316
1,604689,287327948
1,598018,284158236
1,658340,312821160
1,258054,122618458
1,276771,131512103
1,654416,310956269
1,268551,127606215
1,277172,131702510
1,262907,124924478
1,264903,125872988
1,266115,126448973
1,279733,132919746
1,277109,131673177
1,277195,131713415
1,277247,131738248
1,277561,131887535
1,277748,131976654
1,279001,132571755
1,280512,133289820
1,43750,20788365
1,124484,59150237
1,118640,56373862
1,109817,52181558
1,102117,48522447
1,44153,20980200
1,143380,68129225
1,260536,123798021
1,110774,52635957
1,272483,129474856
1,635857,302137859
1,629343,299042524
1,46539,22113629
1,245009,116420181
1,250402,118982448
1,654389,310943673
1,602802,286431279
1,40681,19329932
1,105323,50046095
1,117628,55892619
1,102201,48562391
1,128297,60962322
1,634247,301372997
1,274189,130285216
1,37621,17876170
1,115023,54654730
1,115026,54656380
1,128153,60894235
1,43435,20638909
1,130387,61955109
1,103225,49048736
1,44850,21311135
1,111279,52876120
1,598334,284308041
1,603121,286582842
1,656582,311985932
1,642961,305513242
1,642961,305513310
1,663747,315390344
1,131565,62515099
1,131568,62516569
1,133779,63567110
1,144594,68706154
1,118292,56208286
1,135880,64565364
1,288652,137157680
1,292970,139209581
1,292972,139210716
1,300423,142750802
1,264776,125812333
1,645709,306818986
1,615947,292677480
1,39670,18849923
1,274876,130611814
1,125337,59556032
1,125831,59790471
1,602967,286509588
1,611381,290507816
1,633576,301054148
1,641688,304908714
1,659282,313268630
1,106048,50390317
1,127785,60719297
1,46176,21941094
1,133581,63473048
1,151045,71771080
1,302200,143595252
1,642956,305510986
1,662878,314977399
1,144364,68596796
1,45017,21390414
1,124716,59260664
1,246680,117214191
1,657536,312439046
1,257443,122328123
1,248185,117928844
1,246805,117273359
1,637675,303001689
1,43105,20482050
1,252991,120212430
1,269445,128031398
1,288862,137257608
1,595396,282912234
1,637088,302722949
1,236723,112482808
1,150742,71627550
1,146231,69484167
1,245350,116581963
1,252891,120165188
1,253591,120497625
1,253652,120526821
1,289771,137689070
1,285453,135637766
1,640566,304375448
1,596013,283205411
1,595339,282884948
1,597289,283811426
1,295612,140465013
1,648446,308119913
1,115322,54797106
1,303606,144263255
1,235214,111765740
1,259574,123340650
1,292336,138908448
1,263694,125298495
1,131905,62676402
1,135124,64206447
1,152666,72541405
1,305532,145178592
1,301987,143493995
1,617488,293409690
1,635999,302205264
1,649197,308476813
1,605403,287667295
1,632341,300466902
1,646722,307300623
1,137170,65178611
1,153903,73129515
1,252248,119859584
1,613781,291648129
1,614102,291800704
1,48427,23010853
1,134149,63742753
1,245083,116455157
1,252518,119987840
1,253423,120417701
1,258729,122939121
1,595070,282757018
1,294863,140109168
1,136839,65021413
1,145691,69227455
1,138417,65770807
1,139621,66343048
1,152608,72514076
1,234879,111606424
1,149847,71202119
1,245255,116536848
1,290656,138110144
1,293358,139393777
1,302284,143635006
1,645078,306519437
1,598856,284556393
1,248289,117978424
1,604763,287363011
1,260138,123608706
1,265239,126032575
1,615515,292472329
1,603085,286565659
1,595477,282950367
1,603028,286538804
1,628803,298786015
1,663184,315122816
1,45046,21404086
1,103909,49374069
1,146966,69833438
1,150487,71505970
1,235669,111982095
1,236926,112579352
1,37640,17885354
1,112990,53689010
1,129641,61600851
1,136959,65078179
1,139387,66232050
1,142763,67836075
1,142873,67888484
1,142878,67890755
1,144886,68844940
1,144641,68728534
1,257148,122188108
1,647553,307695500
1,656870,312122663
1,286576,136171323
1,288953,137300608
1,660317,313760582
1,601198,285669201
1,297613,141415617
1,630682,299679041
1,612547,291061917
1,105441,50102049
1,595051,282748444
1,290110,137850635
1,152905,72655090
1,273435,129927086
1,661372,314261828
1,662308,314706719
1,618656,293964493
1,108391,51503705
1,659902,313563215
1,106407,50560754
1,115839,55042771
1,111769,53108917
1,135059,64175510
1,602990,286520345
1,297075,141159757
1,629062,298909093
1,262920,124930668
1,263307,125114609
1,276597,131429560
1,281048,133544675
1,281530,133773470
1,303260,144098671
1,253465,120437922
1,602326,286205288
1,625096,297024804
1,41589,19761664
1,41932,19924860
1,102439,48675507
1,602265,286175990
1,604928,287441613
1,607369,288601419
1,606106,288001369
1,140165,66601551
1,141286,67134567
1,234865,111599851
1,236300,112281462
1,236304,112283660
1,240493,114274131
1,267400,127059743
1,267593,127151088
1,612415,290998977
1,612415,290999224
1,594682,282573006
1,595210,282823705
1,611461,290545738
1,627979,298394489
1,119431,56749466
1,257982,122584320
1,650109,308910263
1,142893,67897814
1,239782,113936578
1,256371,121819052
1,258797,122971806
