run, lumi, event 

273450,229,321062352
274199,141,277261749
274241,213,382403949
275376,413,716271226
275376,456,787331391
275376,1734,2626615651
274200,160,258994490
274157,479,734487672
274199,180,352104235
274199,316,605149883
274199,530,976381488
274199,535,984638118
274251,249,384547278
274388,9,16735512
274388,756,1366172295
273725,749,1142262699
273725,2077,2967058701
273725,2087,2980065321
274968,670,1268849443
274422,192,332522375
274422,631,1112105123
274422,1087,1879291773
274440,131,106106440
274442,81,149899320
275125,294,564274327
275125,610,1115693668
275125,860,1555039047
275293,185,307939556
273450,581,792422814
274388,460,863887625
273447,286,461004548
273502,581,697584959
273503,314,363348342
274422,441,762846416
275371,409,801625326
275311,805,978138096
275338,1,631927
275338,2,2894543
275068,734,1351321485
275068,757,1389171348
275068,773,1416739676
275073,279,504426598
274421,317,602332959
274441,217,358067296
275319,266,267827700
275338,117,199722121
275375,590,997933444
275376,2794,3894528954
275376,2293,3320562127
274998,508,924014218
274998,688,1259565663
275073,12,16094020
275073,12,14905722
275073,219,397733560
275310,981,1657148661
275310,1900,2902832629
274998,548,1000457919
274388,1470,2629075092
273725,1589,2316346790
273725,1688,2453022708
274094,137,78585753
274094,329,307628980
274159,35,60648708
274422,437,756155683
274422,418,720941743
274251,151,237302199
274251,480,752142056
274316,14,25519147
274316,486,863039563
274250,36,71745762
275291,318,548271054
275292,42,63465950
274968,1048,1963639737
274422,1991,3322953309
274442,411,726326110
274971,622,921667587
274971,623,923695289
273725,443,669395981
274241,23,42051629
275001,43,65560210
273158,701,1037882108
275338,482,856599007
275345,100,208544327
273730,8,7863019
274157,279,368427545
274971,204,312803933
274971,244,373570725
274999,337,608037304
274968,1161,2160183841
275001,1988,2601498337
274999,822,1496006720
275311,528,659448344
275311,733,896122601
275311,1127,1325190585
275311,1233,1436542482
274968,420,759893242
274968,398,712046839
274968,384,682013086
274968,441,803923000
275337,51,102232410
275371,414,811818361
274345,17,25126286
274345,67,104105259
274422,1145,1973300065
274157,237,288453900
274199,405,762470911
275068,660,1228514768
275125,58,116257016
275311,889,1071271725
275311,1013,1202434392
274316,758,1290105408
274335,522,989878963
274387,277,443367006
274422,2008,3351074084
275074,95,154223059
275074,150,244036960
275376,1019,1658965148
275376,2881,3989435551
274241,1133,1823280551
274244,607,871179913
274316,912,1518157008
273302,312,390097798
273302,324,404834065
273302,343,427459493
273730,1844,2047254573
274159,18,31359455
274968,275,467914348
275001,661,953086163
275001,738,1057889043
275375,982,1690521772
275376,2704,3799192647
274316,252,467950823
274335,414,779628302
274338,128,229345222
274241,280,495011237
275068,735,1353467231
275282,167,166502637
275291,95,163499594
274339,77,122210767
274388,1066,1945715530
274388,1283,2316012124
274388,1271,2293904540
274388,1275,2300623317
275345,190,394010880
275370,189,228010901
275376,247,436809981
274968,235,399407159
274316,803,1358015035
274335,787,1470500821
274241,965,1571474471
274388,1669,2948394834
274388,1741,3062621382
274442,47,87920893
275074,271,436043811
275074,537,834383986
275124,167,196396896
274388,620,1140182990
274421,52,100097305
274387,376,651077901
274387,394,689854791
274971,867,1257795110
275068,853,1553966172
275125,233,450904630
275309,544,917585758
273725,889,1338686466
273725,894,1345346128
274335,859,1595728890
274442,289,514736483
274199,32,61324660
274199,576,1053701213
275073,513,907410296
274968,964,1824436391
274335,91,107936721
274422,2134,3537860977
274442,524,916883661
274998,346,606353091
274335,168,275167553
274335,834,1552360268
274971,497,744945721
275344,107,103239637
275068,523,994191963
274999,68,116015515
274999,90,154269351
275375,1080,1851656802
275376,24,43125879
273447,299,480596632
273554,258,321207285
275344,256,358519460
275344,345,511842032
274422,32,55815897
274422,843,1473388512
273725,1415,2072001592
274335,847,1574891326
274335,930,1714894631
275067,151,282223892
274157,128,84552455
274316,78,150056152
274315,319,677567027
274315,82,177236290
274422,735,1285925161
274999,606,1119002821
274999,1009,1803400139
274999,1015,1812683013
275337,245,470595546
274241,479,813139984
274241,653,1093352658
274241,890,1456315768
274969,453,830911226
274971,112,169641768
274200,507,818316578
274284,42,79619076
274286,37,69239271
274315,124,270152609
273725,1539,2247713911
274244,207,282167388
274344,31,39554815
274344,431,656603592
274422,946,1647903943
275000,70,109675975
275337,202,390223889
274999,269,473541498
274999,291,516624609
274999,346,625759813
274441,357,587486731
275311,208,266197531
273448,301,434462339
273502,344,389836039
274388,737,1333682271
275125,24,47254678
275125,36,72784682
275125,52,104400170
275001,32,48598773
275001,294,440751950
275001,551,803749862
275073,410,732477302
274316,575,1007062253
274319,212,296427130
275068,786,1436964551
274344,226,346711063
274344,597,925325574
274387,343,582971095
274422,1434,2446581328
275067,28,53348305
275310,629,1107915513
274388,246,474738129
274420,171,192504461
275344,166,200953949
275345,142,294976739
275375,556,934384820
274999,413,755899489
274316,346,632014185
274335,622,1175392589
275375,422,672785382
275375,518,860235131
275001,1178,1626315479
274338,113,202124741
274387,197,269757016
274388,405,765681854
274388,1791,3141982364
274388,1794,3147701364
274388,1578,2804204777
274388,1581,2808202885
275311,388,490476653
274241,815,1342842916
274335,317,584917530
274335,374,699806198
274998,465,840752755
274998,465,840978467
274999,4,6944091
273302,258,324092500
274198,93,137834960
274199,297,570432774
274316,663,1145050680
274335,129,192324552
274335,178,295783759
274335,262,472371448
274335,594,1125792957
274335,640,1208864510
274338,20,31071751
274440,148,137496007
274999,495,911809898
274421,73,141073900
275338,292,499837859
274344,43,58215838
274335,738,1385132056
275371,69,118653064
275310,1144,1898973624
275310,1185,1957457578
275310,1291,2108139843
274968,61,101515914
274971,314,479046309
275375,1069,1833439045
274244,470,673948741
275338,308,532768345
275338,343,600385321
275344,94,78103254
274388,1,1441477
274388,384,729730913
275371,378,743684080
275375,1260,2165772614
275375,568,957454619
275376,712,1195065738
275376,2638,3725487630
275376,2929,4041832754
274422,213,367610346
274442,433,762782511
274442,435,766891835
275067,42,79713755
274338,60,101334279
274161,203,355598947
274319,170,239224780
274335,197,337587432
274335,198,339596463
274286,2,2052696
274157,196,209298203
274314,147,182392520
274250,20,37462479
273554,344,456095292
274316,281,520633821
274319,197,275843687
274335,138,211539934
273502,788,956433705
273725,2012,2883461258
275338,369,640062240
274420,191,235397292
274422,674,1178009164
274422,1220,2097023176
275376,1264,2008397546
275376,1267,2012809050
275376,1893,2825472250
275376,2078,3056678301
275376,2376,3421086708
275068,328,640759839
275001,596,865217862
275309,238,354185573
274344,128,193618722
274382,130,111013338
274382,135,120009131
274344,299,459186611
274388,1139,2074010502
274388,855,1556471178
274421,131,254107803
275344,136,147370336
275344,188,238840834
275370,241,322051138
275293,133,218964267
275890,710,1369856261
275890,730,1411149002
275890,843,1631043698
275658,277,539889980
275913,429,826282754
275920,171,310706565
276243,19,30571905
276244,980,1430108084
276242,1324,2482588161
276244,318,493283264
276244,714,1074087743
274999,136,232635009
275310,1357,2200458292
274969,50,81003740
275311,526,656602512
275344,269,380213275
275311,34,43727368
273302,12,14787029
273450,16,22248409
273450,202,284752997
273502,624,751927248
273725,1951,2804941528
274344,439,669397822
274344,444,678082033
274388,1122,2045052485
274971,161,246237745
274998,781,1427014584
274968,96,164863798
275310,417,752003873
275310,278,510009232
275310,507,905424199
275310,580,1027719236
276242,406,756392978
276242,955,1832983993
276242,1129,2143492484
275836,970,1762725900
276097,208,398839162
276243,200,361868590
275911,279,400678947
275912,22,38997821
275834,163,284021768
275923,83,136701223
276243,105,188617178
276244,825,1230359813
276283,205,397130562
275777,137,270756511
275918,28,49652931
275836,295,567871269
276242,58,107649707
276242,1070,2038202627
276244,772,1156146637
276283,613,1133602927
275963,136,146621730
275073,446,793856395
274244,435,623372573
274244,586,841305666
274316,561,984954943
274316,706,1210637636
274421,264,505584314
275073,37,63317295
275124,136,140102502
274388,194,378314238
274388,1010,1844355481
274441,230,379546039
275375,795,1371533421
275375,1384,2398225908
274442,536,936509287
275376,421,729610747
275890,137,270000477
276242,945,1815507127
275833,174,331473097
275834,158,275932960
275836,1262,2268344167
275890,44,85286515
275890,87,171714856
275890,591,1127814180
274999,960,1721211608
274335,192,326084932
274335,385,722136454
274335,387,725424923
274338,572,1006838461
274969,629,1142417734
274969,830,1488704256
274969,831,1489486107
275310,1609,2531986338
275310,1644,2576989407
275311,1102,1298349265
275319,161,91185689
275337,346,656054394
273725,386,577874163
274251,209,326034981
274441,74,123302125
273409,21,36567945
273425,220,248618825
273503,90,104755579
273725,1602,2335145605
273725,1608,2342976298
275375,1209,2068517581
275375,1267,2179139366
276244,635,961611060
276244,1149,1655526662
276244,1196,1716174308
276244,1198,1718901587
275890,978,1874811311
276244,333,514923441
275847,1289,1635543131
276097,72,130040380
275833,88,171133390
275836,848,1530593160
275832,243,475716335
276097,203,387926522
276244,140,216742923
275310,181,338739447
275125,621,1133806837
275125,625,1139362941
275283,39,83041758
275309,99,117159197
276244,811,1211522010
275837,78,132127837
275833,2,2229128
275833,183,347994735
275834,181,319992723
274388,808,1466330573
274999,1137,2015572367
275067,80,151050880
274999,881,1598542322
275000,79,123014622
275000,96,150336135
275291,290,491265394
276097,5,7461681
276097,484,924884553
275847,703,913022495
275890,942,1817144585
275890,1386,2574426624
276092,101,72069621
276092,84,49494197
276282,1045,1866907339
276283,73,139825306
276283,128,246921612
276283,475,893406526
275913,99,205538241
275913,139,279073177
275832,65,121976241
275832,67,127022063
275832,272,536196804
275310,1323,2153580236
274160,72,136026977
274315,163,354040595
274335,897,1658898266
275309,331,511763215
276242,1421,2657420226
275658,168,331392324
275834,281,529894985
275890,498,933202442
276242,173,329320097
276242,156,295611441
276242,537,1014235252
276242,427,792600836
275847,1847,2260560639
274316,357,650308214
274316,766,1302795004
274335,235,416458137
274335,481,909463274
274388,81,158249357
274388,1680,2965599576
274388,1683,2970309825
274422,854,1492245026
275068,391,757658969
275291,150,257274707
274161,326,565309622
273403,4,4522619
273725,1449,2121210286
273725,1689,2454280409
273725,696,1063674110
274199,496,917594964
274199,125,245019361
274241,147,266872927
274241,355,617578730
274244,283,396218199
274968,752,1430132421
274968,752,1429430164
274968,754,1434584048
274968,846,1608916528
274969,84,137522951
274969,349,640574615
274969,541,987316844
274388,828,1504059321
274420,208,269701372
275310,1706,2657984223
275310,1854,2844905245
275311,248,317215378
274968,94,160601171
274968,393,700055686
274969,27,43849979
275834,168,292296797
275890,1212,2286740901
276242,442,818161328
276242,47,86444809
275847,194,261941816
276282,101,85653634
276454,362,573988649
276543,195,375224846
276582,710,1279107510
276775,815,1362377678
276586,640,1111498369
276808,718,1385651033
276318,190,337249109
276653,77,38622632
276581,426,677393480
276775,101,49227734
276282,454,744340794
276282,500,835952361
275778,136,243442550
275911,179,225467734
275911,187,238075611
276242,575,1094228982
275776,116,238919213
275778,51,91296150
275782,19,33341251
275890,1058,2018318883
275782,157,292504045
275782,541,989184873
275847,232,312126015
276282,328,497031274
276283,548,1021535779
275777,194,379048352
275777,197,386082275
275890,439,831821875
275890,478,898799800
275890,653,1255353286
276776,874,1511062751
276811,1733,2908185456
276361,199,384172125
276361,225,432370770
276542,213,289987666
276543,487,917855799
276363,1215,2168244263
276363,1220,2177338068
276363,1385,2433461742
276502,710,1050895370
275836,17,32892072
275847,290,389045643
275911,115,112145467
276244,775,1161202880
275776,25,49502558
276242,1025,1965322274
276243,438,774524241
276501,717,1156244359
276581,439,702299448
276811,1720,2889739036
276458,205,257979969
276542,836,1412839615
276282,429,693596116
276282,550,936884691
275836,869,1570993885
275847,865,1118941016
275920,56,95833958
276243,167,302392350
276243,170,306928311
275774,116,205849750
275778,23,39556917
275890,254,495910047
276242,683,1299028836
276283,105,202487255
275836,661,1207752836
275890,413,784668258
276282,545,926587156
275890,185,364748022
275890,185,365242407
275890,1357,2527747741
275890,395,753139616
275911,315,472102953
275913,324,630754625
275847,780,1011619709
275847,827,1071133069
275847,829,1073465442
275847,1831,2243192134
275832,291,575032895
275912,247,434439666
276097,275,532331815
275913,250,492517263
275918,36,63407935
275778,101,180900629
275833,91,175830909
275834,1,944743
275890,329,633040235
275913,366,710357486
276242,112,212535496
275890,82,161572365
275911,293,429826139
275777,111,219961378
275836,1205,2168649743
275836,1211,2180312198
275772,37,69572393
275774,29,51279701
276525,2673,4531144561
276525,2708,4582580557
276543,239,460868030
276525,597,934846245
276776,541,911688668
276776,547,922746955
276776,973,1681162515
276542,827,1397596506
276097,456,873849933
275658,285,554468063
275886,87,63444942
275886,88,65321955
275890,929,1792024933
275918,166,287981820
276282,1130,2040592178
276282,1132,2043698458
275920,228,415192063
275920,448,794831003
275923,74,121061512
276282,87,65683851
276244,448,688731165
276244,506,775080360
275833,150,287230551
275832,366,725589180
276384,715,1044134200
275782,208,388915366
275834,189,335761914
275890,210,412224937
275834,29,51743161
275834,204,368290893
275836,5,9503624
275782,173,323527439
275836,439,829493316
276244,343,530816610
276097,260,502955765
275836,316,608494156
275837,16,26466955
275913,74,154148269
275774,55,98571890
276318,81,143740971
276361,431,799209538
276361,442,818382880
276587,262,398533294
276528,322,407462764
276543,664,1211451636
276808,613,1172927403
276775,310,442860183
276542,344,524352192
276361,9,17257413
276361,43,84835192
276361,777,1495261481
276543,334,640248558
276653,159,185927092
276775,103,53477776
275911,101,87488717
276243,586,1009670708
276282,286,421023980
276282,1018,1807579316
276242,1062,2022806189
276282,268,388186611
275658,154,303690205
276282,518,871931843
275836,641,1175853195
275913,29,60865324
275913,142,285857770
275918,300,507895992
275847,377,500945887
275913,209,415241489
276501,730,1177346827
276363,905,1635925064
276437,404,661604532
276501,778,1253137760
276437,1128,2053847101
276542,571,956208127
276775,379,575560048
276544,125,232526794
276544,134,249709790
276585,176,283225533
276318,223,394785963
276527,44,61027702
276527,46,63448089
276586,651,1129880701
276458,308,391139422
276776,637,1089991638
276807,189,259332728
276808,314,607308697
276776,1221,2087699691
276655,614,1096590586
276794,82,108499416
276384,324,491419542
276525,2842,4776727104
276582,851,1532267545
276586,328,584654946
276775,517,833384769
276775,757,1251928265
276363,577,1020413754
276361,619,1181523410
276501,605,976178140
276502,235,361419659
276525,1043,1783071948
276542,716,1211544876
276587,283,429409551
276655,886,1533727374
276242,771,1477075448
275847,1241,1578852324
275834,144,251316405
275911,145,167490487
276242,31,54144427
276242,76,142537256
276242,54,98960293
275890,1329,2480664963
276097,98,176123630
276097,51,91378522
276283,598,1107973789
275833,200,380345969
275847,1435,1804415280
276242,1038,1988239746
